Date,Day,Family,Rep,Length,Width,Origin
15-Apr,3,26,6,0.443,0.264,offshore
15-Apr,3,26,7,0.757,0.47,offshore
15-Apr,3,26,8,1.014,0.369,offshore
15-Apr,3,26,9,0.99,0.2,offshore
13-Apr,1,27,1,0.877,0.297,offshore
13-Apr,1,27,2,0.756,0.738,offshore
13-Apr,1,27,3,0.768,0.507,offshore
13-Apr,1,27,4,0.96,0.445,offshore
13-Apr,1,27,5,0.997,0.472,offshore
13-Apr,1,27,6,1.026,0.419,offshore
13-Apr,1,27,7,0.753,0.328,offshore
13-Apr,1,27,8,1.023,0.368,offshore
13-Apr,1,27,9,1.037,0.46,offshore
13-Apr,1,27,10,0.92,0.518,offshore
14-Apr,2,27,1,0.488,0.382,offshore
14-Apr,2,27,2,0.632,0.511,offshore
14-Apr,2,27,3,0.475,0.427,offshore
14-Apr,2,27,4,0.521,0.443,offshore
14-Apr,2,27,5,0.646,0.417,offshore
14-Apr,2,27,6,0.649,0.543,offshore
14-Apr,2,27,7,0.569,0.45,offshore
14-Apr,2,27,8,0.563,0.547,offshore
14-Apr,2,27,9,0.476,0.457,offshore
14-Apr,2,27,10,0.621,0.538,offshore
15-Apr,3,27,1,0.585,0.31,offshore
15-Apr,3,27,2,0.514,0.36,offshore
15-Apr,3,27,3,0.585,0.5,offshore
15-Apr,3,27,4,0.723,0.491,offshore
15-Apr,3,27,5,0.476,0.333,offshore
15-Apr,3,27,6,0.491,0.445,offshore
15-Apr,3,27,7,0.407,0.37,offshore
15-Apr,3,27,8,0.405,0.303,offshore
15-Apr,3,27,9,0.641,0.324,offshore
15-Apr,3,27,10,0.573,0.238,offshore
13-Apr,1,28,1,0.41,0.299,offshore
13-Apr,1,28,2,0.375,0.276,offshore
13-Apr,1,28,3,0.508,0.366,offshore
13-Apr,1,28,4,0.397,0.316,offshore
13-Apr,1,28,5,0.407,0.398,offshore
13-Apr,1,28,6,0.441,0.425,offshore
13-Apr,1,28,7,0.531,0.441,offshore
13-Apr,1,28,8,0.491,0.359,offshore
13-Apr,1,28,9,0.553,0.427,offshore
13-Apr,1,28,10,0.412,0.409,offshore
14-Apr,2,28,1,0.776,0.359,offshore
14-Apr,2,28,2,0.687,0.462,offshore
14-Apr,2,28,3,0.578,0.356,offshore
14-Apr,2,28,4,0.765,0.427,offshore
14-Apr,2,28,5,0.661,0.45,offshore
14-Apr,2,28,6,0.841,0.394,offshore
14-Apr,2,28,7,1.023,0.358,offshore
15-Apr,3,28,1,0.481,0.461,offshore
15-Apr,3,28,2,0.374,0.354,offshore
15-Apr,3,28,3,0.502,0.454,offshore
15-Apr,3,28,4,0.543,0.392,offshore
15-Apr,3,28,5,0.42,0.385,offshore
15-Apr,3,28,6,0.458,0.399,offshore
15-Apr,3,28,7,0.358,0.354,offshore
15-Apr,3,28,8,0.443,0.375,offshore
15-Apr,3,28,9,0.44,0.385,offshore
15-Apr,3,28,10,0.431,0.292,offshore
13-Apr,1,29,1,0.587,0.559,offshore
13-Apr,1,29,2,0.686,0.466,offshore
13-Apr,1,29,3,0.708,0.666,offshore
13-Apr,1,29,4,0.686,0.622,offshore
13-Apr,1,29,5,0.68,0.632,offshore
13-Apr,1,29,6,0.632,0.608,offshore
13-Apr,1,29,7,0.668,0.654,offshore
13-Apr,1,29,8,0.697,0.568,offshore
13-Apr,1,29,9,0.589,0.541,offshore
13-Apr,1,29,10,0.664,0.612,offshore
14-Apr,2,29,1,0.632,0.562,offshore
14-Apr,2,29,2,0.638,0.557,offshore
14-Apr,2,29,3,0.545,0.419,offshore
14-Apr,2,29,4,0.666,0.525,offshore
14-Apr,2,29,5,0.499,0.452,offshore
14-Apr,2,29,6,0.663,0.485,offshore
14-Apr,2,29,7,0.657,0.614,offshore
14-Apr,2,29,8,0.514,0.486,offshore
