n,"Date Time, GMT-04:00",Temp ,Treat,Rep
228,04/18/18 12:50:00 AM,23.966,Ctrl,B
229,04/18/18 01:00:00 AM,23.966,Ctrl,B
230,04/18/18 01:10:00 AM,23.966,Ctrl,B
231,04/18/18 01:20:00 AM,23.966,Ctrl,B
232,04/18/18 01:30:00 AM,24.062,Ctrl,B
233,04/18/18 01:40:00 AM,24.062,Ctrl,B
234,04/18/18 01:50:00 AM,24.062,Ctrl,B
235,04/18/18 02:00:00 AM,24.062,Ctrl,B
236,04/18/18 02:10:00 AM,24.062,Ctrl,B
237,04/18/18 02:20:00 AM,24.062,Ctrl,B
238,04/18/18 02:30:00 AM,24.062,Ctrl,B
239,04/18/18 02:40:00 AM,24.062,Ctrl,B
240,04/18/18 02:50:00 AM,24.062,Ctrl,B
241,04/18/18 03:00:00 AM,24.062,Ctrl,B
242,04/18/18 03:10:00 AM,24.062,Ctrl,B
243,04/18/18 03:20:00 AM,24.062,Ctrl,B
244,04/18/18 03:30:00 AM,24.062,Ctrl,B
245,04/18/18 03:40:00 AM,24.062,Ctrl,B
246,04/18/18 03:50:00 AM,24.062,Ctrl,B
247,04/18/18 04:00:00 AM,24.062,Ctrl,B
248,04/18/18 04:10:00 AM,24.062,Ctrl,B
249,04/18/18 04:20:00 AM,24.062,Ctrl,B
250,04/18/18 04:30:00 AM,24.062,Ctrl,B
251,04/18/18 04:40:00 AM,24.062,Ctrl,B
252,04/18/18 04:50:00 AM,24.062,Ctrl,B
253,04/18/18 05:00:00 AM,24.062,Ctrl,B
254,04/18/18 05:10:00 AM,24.062,Ctrl,B
255,04/18/18 05:20:00 AM,24.062,Ctrl,B
256,04/18/18 05:30:00 AM,24.062,Ctrl,B
257,04/18/18 05:40:00 AM,24.062,Ctrl,B
258,04/18/18 05:50:00 AM,24.062,Ctrl,B
259,04/18/18 06:00:00 AM,24.062,Ctrl,B
260,04/18/18 06:10:00 AM,24.062,Ctrl,B
261,04/18/18 06:20:00 AM,24.062,Ctrl,B
262,04/18/18 06:30:00 AM,24.062,Ctrl,B
263,04/18/18 06:40:00 AM,24.062,Ctrl,B
264,04/18/18 06:50:00 AM,24.062,Ctrl,B
265,04/18/18 07:00:00 AM,24.062,Ctrl,B
266,04/18/18 07:10:00 AM,24.062,Ctrl,B
267,04/18/18 07:20:00 AM,24.062,Ctrl,B
268,04/18/18 07:30:00 AM,24.062,Ctrl,B
269,04/18/18 07:40:00 AM,24.062,Ctrl,B
270,04/18/18 07:50:00 AM,24.062,Ctrl,B
271,04/18/18 08:00:00 AM,24.158,Ctrl,B
272,04/18/18 08:10:00 AM,24.062,Ctrl,B
273,04/18/18 08:20:00 AM,24.062,Ctrl,B
274,04/18/18 08:30:00 AM,24.062,Ctrl,B
275,04/18/18 08:40:00 AM,24.062,Ctrl,B
276,04/18/18 08:50:00 AM,24.062,Ctrl,B
277,04/18/18 09:00:00 AM,23.966,Ctrl,B
278,04/18/18 09:10:00 AM,23.966,Ctrl,B
279,04/18/18 09:20:00 AM,23.966,Ctrl,B
280,04/18/18 09:30:00 AM,23.966,Ctrl,B
281,04/18/18 09:40:00 AM,23.966,Ctrl,B
282,04/18/18 09:50:00 AM,23.869,Ctrl,B
