n,"Date Time, GMT-04:00",Temp,Treat,Rep
288,04/18/18 10:50:00 AM,31.676,Heat,f
289,04/18/18 11:00:00 AM,31.778,Heat,f
290,04/18/18 11:10:00 AM,31.676,Heat,f
291,04/18/18 11:20:00 AM,31.676,Heat,f
292,04/18/18 11:30:00 AM,31.676,Heat,f
293,04/18/18 11:40:00 AM,31.676,Heat,f
294,04/18/18 11:50:00 AM,31.676,Heat,f
295,04/18/18 12:00:00 PM,31.676,Heat,f
296,04/18/18 12:10:00 PM,31.676,Heat,f
297,04/18/18 12:20:00 PM,31.676,Heat,f
298,04/18/18 12:30:00 PM,31.676,Heat,f
299,04/18/18 12:40:00 PM,31.574,Heat,f
300,04/18/18 12:50:00 PM,31.676,Heat,f
301,04/18/18 01:00:00 PM,31.676,Heat,f
302,04/18/18 01:10:00 PM,31.574,Heat,f
303,04/18/18 01:20:00 PM,31.676,Heat,f
304,04/18/18 01:30:00 PM,31.676,Heat,f
305,04/18/18 01:40:00 PM,31.574,Heat,f
306,04/18/18 01:50:00 PM,31.676,Heat,f
307,04/18/18 02:00:00 PM,31.676,Heat,f
308,04/18/18 02:10:00 PM,31.676,Heat,f
309,04/18/18 02:20:00 PM,31.676,Heat,f
310,04/18/18 02:30:00 PM,31.778,Heat,f
311,04/18/18 02:40:00 PM,31.676,Heat,f
312,04/18/18 02:50:00 PM,31.676,Heat,f
313,04/18/18 03:00:00 PM,31.778,Heat,f
314,04/18/18 03:10:00 PM,31.676,Heat,f
315,04/18/18 03:20:00 PM,31.676,Heat,f
316,04/18/18 03:30:00 PM,31.778,Heat,f
317,04/18/18 03:40:00 PM,31.676,Heat,f
318,04/18/18 03:50:00 PM,31.676,Heat,f
319,04/18/18 04:00:00 PM,31.778,Heat,f
320,04/18/18 04:10:00 PM,31.676,Heat,f
321,04/18/18 04:20:00 PM,31.778,Heat,f
322,04/18/18 04:30:00 PM,31.676,Heat,f
323,04/18/18 04:40:00 PM,31.676,Heat,f
324,04/18/18 04:50:00 PM,31.676,Heat,f
325,04/18/18 05:00:00 PM,31.676,Heat,f
326,04/18/18 05:10:00 PM,31.574,Heat,f
327,04/18/18 05:20:00 PM,31.676,Heat,f
328,04/18/18 05:30:00 PM,31.574,Heat,f
329,04/18/18 05:40:00 PM,31.676,Heat,f
330,04/18/18 05:50:00 PM,31.676,Heat,f
331,04/18/18 06:00:00 PM,31.574,Heat,f
332,04/18/18 06:10:00 PM,31.676,Heat,f
333,04/18/18 06:20:00 PM,31.676,Heat,f
334,04/18/18 06:30:00 PM,31.574,Heat,f
335,04/18/18 06:40:00 PM,31.676,Heat,f
336,04/18/18 06:50:00 PM,31.676,Heat,f
337,04/18/18 07:00:00 PM,31.676,Heat,f
338,04/18/18 07:10:00 PM,31.676,Heat,f
339,04/18/18 07:20:00 PM,31.778,Heat,f
340,04/18/18 07:30:00 PM,31.676,Heat,f
341,04/18/18 07:40:00 PM,31.676,Heat,f
342,04/18/18 07:50:00 PM,31.676,Heat,f
343,04/18/18 08:00:00 PM,31.676,Heat,f
344,04/18/18 08:10:00 PM,31.676,Heat,f
345,04/18/18 08:20:00 PM,31.676,Heat,f
346,04/18/18 08:30:00 PM,31.574,Heat,f
347,04/18/18 08:40:00 PM,31.676,Heat,f
348,04/18/18 08:50:00 PM,31.676,Heat,f
349,04/18/18 09:00:00 PM,31.676,Heat,f
350,04/18/18 09:10:00 PM,31.676,Heat,f
351,04/18/18 09:20:00 PM,31.676,Heat,f
352,04/18/18 09:30:00 PM,31.574,Heat,f
353,04/18/18 09:40:00 PM,31.676,Heat,f
354,04/18/18 09:50:00 PM,31.676,Heat,f
355,04/18/18 10:00:00 PM,31.676,Heat,f
356,04/18/18 10:10:00 PM,31.676,Heat,f
357,04/18/18 10:20:00 PM,31.574,Heat,f
358,04/18/18 10:30:00 PM,31.676,Heat,f
359,04/18/18 10:40:00 PM,31.676,Heat,f
360,04/18/18 10:50:00 PM,31.574,Heat,f
