n,"Date Time, GMT-04:00",Temp,Treat
259,04/19/18 05:30:00 AM,24.738,Ctrl
260,04/19/18 05:40:00 AM,24.738,Ctrl
261,04/19/18 05:50:00 AM,24.738,Ctrl
262,04/19/18 06:00:00 AM,24.738,Ctrl
263,04/19/18 06:10:00 AM,24.738,Ctrl
264,04/19/18 06:20:00 AM,24.738,Ctrl
265,04/19/18 06:30:00 AM,24.738,Ctrl
266,04/19/18 06:40:00 AM,24.738,Ctrl
267,04/19/18 06:50:00 AM,24.835,Ctrl
268,04/19/18 07:00:00 AM,24.835,Ctrl
269,04/19/18 07:10:00 AM,24.835,Ctrl
270,04/19/18 07:20:00 AM,24.835,Ctrl
271,04/19/18 07:30:00 AM,24.835,Ctrl
272,04/19/18 07:40:00 AM,24.835,Ctrl
273,04/19/18 07:50:00 AM,24.835,Ctrl
274,04/19/18 08:00:00 AM,24.835,Ctrl
275,04/19/18 08:10:00 AM,24.835,Ctrl
276,04/19/18 08:20:00 AM,24.835,Ctrl
277,04/19/18 08:30:00 AM,24.835,Ctrl
278,04/19/18 08:40:00 AM,24.835,Ctrl
279,04/19/18 08:50:00 AM,24.835,Ctrl
280,04/19/18 09:00:00 AM,24.835,Ctrl
281,04/19/18 09:10:00 AM,24.835,Ctrl
282,04/19/18 09:20:00 AM,24.835,Ctrl
283,04/19/18 09:30:00 AM,24.738,Ctrl
284,04/19/18 09:40:00 AM,24.738,Ctrl
285,04/19/18 09:50:00 AM,24.738,Ctrl
286,04/19/18 10:00:00 AM,24.738,Ctrl
287,04/19/18 10:10:00 AM,24.738,Ctrl
288,04/19/18 10:20:00 AM,24.738,Ctrl
289,04/19/18 10:30:00 AM,24.738,Ctrl
290,04/19/18 10:40:00 AM,24.738,Ctrl
291,04/19/18 10:50:00 AM,24.641,Ctrl
292,04/19/18 11:00:00 AM,24.641,Ctrl
293,04/19/18 11:10:00 AM,24.641,Ctrl
294,04/19/18 11:20:00 AM,24.641,Ctrl
295,04/19/18 11:30:00 AM,24.641,Ctrl
296,04/19/18 11:40:00 AM,24.641,Ctrl
297,04/19/18 11:50:00 AM,24.641,Ctrl
298,04/19/18 12:00:00 PM,24.641,Ctrl
299,04/19/18 12:10:00 PM,24.641,Ctrl
300,04/19/18 12:20:00 PM,24.641,Ctrl
301,04/19/18 12:30:00 PM,24.641,Ctrl
302,04/19/18 12:40:00 PM,24.545,Ctrl
303,04/19/18 12:50:00 PM,24.545,Ctrl
304,04/19/18 01:00:00 PM,24.545,Ctrl
305,04/19/18 01:10:00 PM,24.545,Ctrl
306,04/19/18 01:20:00 PM,24.545,Ctrl
307,04/19/18 01:30:00 PM,24.545,Ctrl
308,04/19/18 01:40:00 PM,24.545,Ctrl
309,04/19/18 01:50:00 PM,24.545,Ctrl
310,04/19/18 02:00:00 PM,24.545,Ctrl
311,04/19/18 02:10:00 PM,24.641,Ctrl
312,04/19/18 02:20:00 PM,24.545,Ctrl
313,04/19/18 02:30:00 PM,24.545,Ctrl
314,04/19/18 02:40:00 PM,24.545,Ctrl
315,04/19/18 02:50:00 PM,24.641,Ctrl
316,04/19/18 03:00:00 PM,24.641,Ctrl
317,04/19/18 03:10:00 PM,24.641,Ctrl
318,04/19/18 03:20:00 PM,24.641,Ctrl
319,04/19/18 03:30:00 PM,24.641,Ctrl
320,04/19/18 03:40:00 PM,24.641,Ctrl
321,04/19/18 03:50:00 PM,24.641,Ctrl
322,04/19/18 04:00:00 PM,24.641,Ctrl
323,04/19/18 04:10:00 PM,24.641,Ctrl
324,04/19/18 04:20:00 PM,24.641,Ctrl
325,04/19/18 04:30:00 PM,24.641,Ctrl
326,04/19/18 04:40:00 PM,24.641,Ctrl
327,04/19/18 04:50:00 PM,24.738,Ctrl
328,04/19/18 05:00:00 PM,24.738,Ctrl
329,04/19/18 05:10:00 PM,24.738,Ctrl
330,04/19/18 05:20:00 PM,24.738,Ctrl
331,04/19/18 05:30:00 PM,24.738,Ctrl
332,04/19/18 05:40:00 PM,24.835,Ctrl
333,04/19/18 05:50:00 PM,24.931,Ctrl
334,04/19/18 06:00:00 PM,24.931,Ctrl
335,04/19/18 06:10:00 PM,25.028,Ctrl
336,04/19/18 06:20:00 PM,24.641,Ctrl
337,04/19/18 06:30:00 PM,22.142,Ctrl
338,04/19/18 06:40:00 PM,21.76,Ctrl
339,04/19/18 06:50:00 PM,22.046,Ctrl
